Pendulum Angle (rad),Angular Velocity (rad/s),Pendulum Angle next (rad),Angular Velocity next (rad/s)
1.0471975511965976,0.0,1.0471542501068338,-0.008660181867031005
1.0471542501068338,-0.008660181867031005,1.047024349002753,-0.01731993067806157
1.047024349002753,-0.01731993067806157,1.0468078543808448,-0.025978813203921598
1.0468078543808448,-0.025978813203921598,1.046504777071477,-0.03463639586920765
1.046504777071477,-0.03463639586920765,1.0461151322432236,-0.04329224457943162
1.0461151322432236,-0.04329224457943162,1.0456389394089176,-0.05194592454848784
1.0456389394089176,-0.05194592454848784,1.0450762224334285,-0.06059700012654507
1.0450762224334285,-0.06059700012654507,1.0444270095431578,-0.06924503462846984
1.0444270095431578,-0.06924503462846984,1.0436913333372475,-0.0778895901628879
1.0436913333372475,-0.0778895901628879,1.042869230800494,-0.0865302274619908
1.042869230800494,-0.0865302274619908,1.04196074331796,-0.0951665057121947
1.04196074331796,-0.0951665057121947,1.0409659166912748,-0.10379798238575937
1.0409659166912748,-0.10379798238575937,1.0398848011566137,-0.11242421307347478
1.0398848011566137,-0.11242421307347478,1.038717451404344,-0.12104475131852423
1.038717451404344,-0.12104475131852423,1.0374639266003267,-0.12965914845163232
1.0374639266003267,-0.12965914845163232,1.0361242904088594,-0.13826695342760723
1.0361242904088594,-0.13826695342760723,1.0346986110172471,-0.14686771266338694
1.0346986110172471,-0.14686771266338694,1.0331869611619833,-0.15546096987769975
1.0331869611619833,-0.15546096987769975,1.0315894181565266,-0.16404626593244956
1.0315894181565266,-0.16404626593244956,1.0299060639206552,-0.1726231386759376
1.0299060639206552,-0.1726231386759376,1.0281369850113782,-0.18119112278803218
1.0281369850113782,-0.18119112278803218,1.0262822726553853,-0.18974974962739927
1.0262822726553853,-0.18974974962739927,1.0243420227830144,-0.19829854708090652
1.0243420227830144,-0.19829854708090652,1.0223163360637124,-0.20683703941531503
1.0223163360637124,-0.20683703941531503,1.020205317942968,-0.21536474713137255
1.020205317942968,-0.21536474713137255,1.0180090786806912,-0.2238811868204235
1.0180090786806912,-0.2238811868204235,1.015727733391013,-0.2323858710236511
1.015727733391013,-0.2323858710236511,1.01336140208348,-0.24087830809406793
1.01336140208348,-0.24087830809406793,1.0109102097056135,-0.24935800206137143
1.0109102097056135,-0.24935800206137143,1.0083742861868066,-0.2578244524997818
1.0083742861868066,-0.2578244524997818,1.0057537664835263,-0.2662771543989804
1.0057537664835263,-0.2662771543989804,1.0030487906257914,-0.2747155980382666
1.0030487906257914,-0.2747155980382666,1.0002595037648918,-0.2831392688640524
1.0002595037648918,-0.2831392688640524,0.9973860562223147,-0.29154764737081407
0.9973860562223147,-0.29154764737081407,0.9944286035398452,-0.29994020898562107
0.9944286035398452,-0.29994020898562107,0.9913873065308019,-0.3083164239563615
0.9913873065308019,-0.3083164239563615,0.9882623313323718,-0.316675757243786
0.9882623313323718,-0.316675757243786,0.9850538494590055,-0.3250176684174899
0.9850538494590055,-0.3250176684174899,0.9817620378568314,-0.3333416115559556
0.9817620378568314,-0.3333416115559556,0.9783870789590493,-0.3416470351507756
0.9783870789590493,-0.3416470351507756,0.9749291607422609,-0.34993338201517854
0.9749291607422609,-0.34993338201517854,0.9713884767836918,-0.35820008919697893
0.9713884767836918,-0.35820008919697893,0.9677652263192622,-0.3664465878960724
0.9677652263192622,-0.3664465878960724,0.9640596143024592,-0.37467230338659724
0.9640596143024592,-0.37467230338659724,0.960271851463964,-0.382876654943884
0.960271851463964,-0.382876654943884,0.9564021543719842,-0.3910590557763128
0.9564021543719842,-0.3910590557763128,0.9524507454932436,-0.3992189129621993
0.9524507454932436,-0.3992189129621993,0.948417853254577,-0.4073556273918289
0.948417853254577,-0.4073556273918289,0.944303712105078,-0.41546859371475764
0.944303712105078,-0.41546859371475764,0.940108562578748,-0.4235572002924986
0.940108562578748,-0.4235572002924986,0.9358326513575899,-0.4316208291567108
0.9358326513575899,-0.4316208291567108,0.9314762313350923,-0.43965885597300675
0.9314762313350923,-0.43965885597300675,0.9270395616800475,-0.4476706500104938
0.9270395616800475,-0.4476706500104938,0.9225229079006443,-0.4556555741171627
0.9225229079006443,-0.4556555741171627,0.9179265419087771,-0.4636129847012358
0.9179265419087771,-0.4636129847012358,0.9132507420845121,-0.4715422317185855
0.9132507420845121,-0.4715422317185855,0.9084957933406478,-0.47944265866633085
0.9084957933406478,-0.47944265866633085,0.9036619871873084,-0.48731360258272016
0.9036619871873084,-0.48731360258272016,0.8987496217965065,-0.49515439405340306
0.8987496217965065,-0.49515439405340306,0.8937590020666109,-0.502964357224195
0.8937590020666109,-0.502964357224195,0.8886904396866533,-0.5107428098204329
0.8886904396866533,-0.5107428098204329,0.8835442532004089,-0.5184890631730203
0.8835442532004089,-0.5184890631730203,0.8783207680701819,-0.5262024222512548
0.8783207680701819,-0.5262024222512548,0.8730203167402293,-0.5338821857025281
0.8730203167402293,-0.5338821857025281,0.867643238699752,-0.5415276458989892
0.867643238699752,-0.5415276458989892,0.8621898805453849,-0.5491380889912506
0.8621898805453849,-0.5491380889912506,0.8566605960431141,-0.5567127949692221
0.8566605960431141,-0.5567127949692221,0.8510557461895493,-0.5642510377301447
0.8510557461895493,-0.5642510377301447,0.8453756992724806,-0.5717520851539
0.8453756992724806,-0.5717520851539,0.8396208309306449,-0.5792151991856608
0.8396208309306449,-0.5792151991856608,0.8337915242126286,-0.5866396359259477
0.8337915242126286,-0.5866396359259477,0.827888169634833,-0.5940246457281487
0.827888169634833,-0.5940246457281487,0.8219111652384269,-0.6013694733035564
0.8219111652384269,-0.6013694733035564,0.8158609166452102,-0.6086733578339705
0.8158609166452102,-0.6086733578339705,0.809737837112315,-0.6159355330919078
0.809737837112315,-0.6159355330919078,0.8035423475856647,-0.6231552275684579
0.8035423475856647,-0.6231552275684579,0.7972748767521177,-0.6303316646088132
0.7972748767521177,-0.6303316646088132,0.7909358610902165,-0.6374640625555016
0.7909358610902165,-0.6374640625555016,0.7845257449194656,-0.6445516348993369
0.7845257449194656,-0.6445516348993369,0.778044980448062,-0.6515935904381004
0.778044980448062,-0.6515935904381004,0.7714940278190002,-0.6585891334429591
0.7714940278190002,-0.6585891334429591,0.7648733551544733,-0.6655374638326174
0.7648733551544733,-0.6655374638326174,0.7581834385984954,-0.6724377773551936
0.7581834385984954,-0.6724377773551936,0.7514247623576652,-0.6792892657778052
0.7514247623576652,-0.6792892657778052,0.7445978187399969,-0.6860911170838371
