Pendulum Angle (rad),Angular Velocity (rad/s),Pendulum Angle next (rad),Angular Velocity next (rad/s)
1.29268440428292,0.0,1.2926363256176272,-0.009615711057406036
1.2926363256176272,-0.009615711057406036,1.2924920909419237,-0.019231158058417734
1.2924920909419237,-0.019231158058417734,1.2922517042176285,-0.02884607668718548
1.2922517042176285,-0.02884607668718548,1.291915172052097,-0.038460202109029465
1.291915172052097,-0.038460202109029465,1.2914825037047057,-0.04807326871122574
1.2914825037047057,-0.04807326871122574,1.290953711095928,-0.057685009844034026
1.290953711095928,-0.057685009844034026,1.290328808818997,-0.06729515756204853
1.290328808818997,-0.06729515756204853,1.2896078141541552,-0.07690344236595344
1.2896078141541552,-0.07690344236595344,1.2887907470854814,-0.08650959294476566
1.2887907470854814,-0.08650959294476566,1.2878776303202948,-0.09611333591864789
1.2878776303202948,-0.09611333591864789,1.2868684893111264,-0.10571439558237614
1.2868684893111264,-0.10571439558237614,1.2857633522802523,-0.11531249364954721
1.2857633522802523,-0.11531249364954721,1.2845622502467815,-0.12490734899761219
1.2845622502467815,-0.12490734899761219,1.283265217056288,-0.1344986774138239
1.283265217056288,-0.1344986774138239,1.281872289412979,-0.1440861913421875
1.281872289412979,-0.1440861913421875,1.2803835069143887,-0.15366959963150476
1.2803835069143887,-0.15366959963150476,1.278798912088584,-0.16324860728460464
1.278798912088584,-0.16324860728460464,1.277118550433874,-0.17282291520885443
1.277118550433874,-0.17282291520885443,1.2753424704610055,-0.1823922199680473
1.2753424704610055,-0.1823922199680473,1.2734707237378335,-0.19195621353576484
1.2734707237378335,-0.19195621353576484,1.2715033649364504,-0.2015145830503144
1.2715033649364504,-0.2015145830503144,1.2694404518827564,-0.21106701057134442
1.2694404518827564,-0.21106701057134442,1.2672820456084564,-0.22061317283824206
1.2672820456084564,-0.22061317283824206,1.2650282104054618,-0.2301527410304207
1.2650282104054618,-0.2301527410304207,1.2626790138826811,-0.23968538052960733
1.2626790138826811,-0.23968538052960733,1.2602345270251771,-0.24921075068424225
1.2602345270251771,-0.24921075068424225,1.2576948242556676,-0.258728504576106
1.2576948242556676,-0.258728504576106,1.2550599834983494,-0.2682382887892922
1.2550599834983494,-0.2682382887892922,1.2523300862450204,-0.27773974318164624
1.2523300862450204,-0.27773974318164624,1.2495052176234738,-0.28723250065879496
1.2495052176234738,-0.28723250065879496,1.2465854664681393,-0.2967161869508926
1.2465854664681393,-0.2967161869508926,1.2435709253929417,-0.3061904203922141
1.2435709253929417,-0.3061904203922141,1.2404616908663497,-0.31565481170372844
1.2404616908663497,-0.31565481170372844,1.2372578632885836,-0.32510896377878756
1.2372578632885836,-0.32510896377878756,1.2339595470709483,-0.3345524714720713
1.2339595470709483,-0.3345524714720713,1.2305668507172627,-0.34398492139192977
1.2305668507172627,-0.34398492139192977,1.2270798869073452,-0.3534058916962703
1.2270798869073452,-0.3534058916962703,1.2234987725825244,-0.3628149518921365
1.2234987725825244,-0.3628149518921365,1.2198236290331335,-0.3722116626391333
1.2198236290331335,-0.3722116626391333,1.2160545819879507,-0.3815955755568527
1.2160545819879507,-0.3815955755568527,1.2121917617055453,-0.39096623303645933
1.2121917617055453,-0.39096623303645933,1.2082353030674862,-0.4003231680565984
1.2082353030674862,-0.4003231680565984,1.2041853456733684,-0.40966590400379077
1.2041853456733684,-0.40966590400379077,1.2000420339376134,-0.4189939544974845
1.2000420339376134,-0.4189939544974845,1.1958055171879947,-0.42830682321993374
1.1958055171879947,-0.42830682321993374,1.1914759497658387,-0.4376040037510808
1.1914759497658387,-0.4376040037510808,1.1870534911278534,-0.44688497940861804
1.1870534911278534,-0.44688497940861804,1.1825383059495267,-0.4561492230934118
1.1825383059495267,-0.4561492230934118,1.177930564230046,-0.46539619714047065
1.177930564230046,-0.46539619714047065,1.1732304413986767,-0.474625353175645
1.1732304413986767,-0.474625353175645,1.1684381184225472,-0.4838361319782476
1.1684381184225472,-0.4838361319782476,1.1635537819157744,-0.4930279633497852
1.1635537819157744,-0.4930279633497852,1.1585776242498729,-0.5022002659889968
1.1585776242498729,-0.5022002659889968,1.15350984366538,-0.5113524473733934
1.15350984366538,-0.5113524473733934,1.1483506443846323,-0.5204839036474983
1.1483506443846323,-0.5204839036474983,1.1431002367256262,-0.5295940195179886
1.1431002367256262,-0.5295940195179886,1.137758837216891,-0.5386821681559378
1.137758837216891,-0.5386821681559378,1.132326668713303,-0.5477477111063657
1.132326668713303,-0.5477477111063657,1.126803960512767,-0.5567899982052974
1.126803960512767,-0.5567899982052974,1.1211909484736904,-0.5658083675045404
1.1211909484736904,-0.5658083675045404,1.1154878751331663,-0.5748021452043838
1.1154878751331663,-0.5748021452043838,1.109694989825793,-0.5837706455944274
1.109694989825793,-0.5837706455944274,1.1038125488030415,-0.5927131710027501
1.1038125488030415,-0.5927131710027501,1.0978408153530892,-0.6016290117536233
1.0978408153530892,-0.6016290117536233,1.0917800599210334,-0.6105174461339764
1.0917800599210334,-0.6105174461339764,1.0856305602293952,-0.6193777403688236
1.0856305602293952,-0.6193777403688236,1.0793926013988229,-0.6282091486058557
1.0793926013988229,-0.6282091486058557,1.073066476068904,-0.6370109129094021
1.073066476068904,-0.6370109129094021,1.0666524845189882,-0.6457822632639671
1.0666524845189882,-0.6457822632639671,1.0601509347889286,-0.6545224175875411
1.0601509347889286,-0.6545224175875411,1.053562142799638,-0.6632305817548854
1.053562142799638,-0.6632305817548854,1.0468864324733624,-0.671905949630987
1.0468864324733624,-0.671905949630987,1.0401241358535689,-0.6805477031148781
1.0401241358535689,-0.6805477031148781,1.0332755932243416,-0.6891550121940065
1.0332755932243416,-0.6891550121940065,1.0263411532291815,-0.697727035009347
1.0263411532291815,-0.697727035009347,1.0193211729891,-0.7062629179314313
1.0193211729891,-0.7062629179314313,1.0122160182198972,-0.7147617956474763
1.0122160182198972,-0.7147617956474763,1.005026063348512,-0.7232227912597797
1.005026063348512,-0.7232227912597797,0.9977516916283323,-0.7316450163955492
0.9977516916283323,-0.7316450163955492,0.9903932952533485,-0.7400275713283259
0.9903932952533485,-0.7400275713283259,0.9829512754710337,-0.7483695451111527
0.9829512754710337,-0.7483695451111527,0.9754260426938337,-0.7566700157216355
0.9754260426938337,-0.7566700157216355,0.967818016609146,-0.7649280502190323
0.967818016609146,-0.7649280502190323,0.9601276262876672,-0.7731427049135029
0.9601276262876672,-0.7731427049135029,0.9523553102899864,-0.7813130255476376
0.9523553102899864,-0.7813130255476376,0.9445015167713021,-0.789438047490379
0.9445015167713021,-0.789438047490379,0.9365667035841365,-0.7975167959434374
0.9365667035841365,-0.7975167959434374,0.9285513383789238,-0.8055482861602918
0.9285513383789238,-0.8055482861602918,0.9204558987023445,-0.8135315236778593
0.9204558987023445,-0.8135315236778593,0.9122808720932796,-0.8214655045609002
0.9122808720932796,-0.8214655045609002,0.9040267561762572,-0.8293492156592193
0.9040267561762572,-0.8293492156592193,0.8956940587522622,-0.8371816348777078
0.8956940587522622,-0.8371816348777078,0.8872832978867817,-0.8449617314592592
0.8872832978867817,-0.8449617314592592,0.8787950019949567,-0.8526884662805793
0.8787950019949567,-0.8526884662805793,0.8702297099237113,-0.8603607921608948
0.8702297099237113,-0.8603607921608948,0.8615879710307297,-0.8679776541835551
0.8615879710307297,-0.8679776541835551,0.852870345260154,-0.8755379900305008
0.852870345260154,-0.8755379900305008,0.8440774032148723,-0.883040730329563
0.8440774032148723,-0.883040730329563,0.8352097262252698,-0.8904847990145381
0.8352097262252698,-0.8904847990145381,0.8262679064143157,-0.8978691136979697
0.8262679064143157,-0.8978691136979697,0.8172525467588598,-0.9051925860565484
0.8172525467588598,-0.9051925860565484,0.8081642611470113,-0.912454122229029
0.8081642611470113,-0.912454122229029,0.799003674431477,-0.9196526232265424
0.799003674431477,-0.9196526232265424,0.7897714224787348,-0.9267869853551648
0.7897714224787348,-0.9267869853551648,0.780468152213921,-0.9338561006505873
0.780468152213921,-0.9338561006505873,0.7710945216613112,-0.9408588573247118
0.7710945216613112,-0.9408588573247118,0.7616511999802759,-0.9477941402239797
0.7616511999802759,-0.9477941402239797,0.7521388674965954,-0.9546608312992221
0.7521388674965954,-0.9546608312992221,0.7425582157290199,-0.9614578100867999
0.7425582157290199,-0.9614578100867999,0.732909947410962,-0.9681839542007837
0.732909947410962,-0.9681839542007837,0.7231947765072138,-0.9748381398359051
0.7231947765072138,-0.9748381398359051,0.7134134282255815,-0.9814192422809883
0.7134134282255815,-0.9814192422809883,0.7035666390233356,-0.9879261364425567
0.7035666390233356,-0.9879261364425567,0.6936551566083737,-0.994357697378283
0.6936551566083737,-0.994357697378283,0.6836797399350028,-1.0007128008399377
0.6836797399350028,-1.0007128008399377,0.6736411591942446,-1.0069903238254678
0.6736411591942446,-1.0069903238254678,0.6635401957985778,-1.0131891451398192
0.6635401957985778,-1.0131891451398192,0.6533776423610282,-1.019308145964096
0.6533776423610282,-1.019308145964096,0.6431543026685286,-1.0253462104326336
0.6431543026685286,-1.0253462104326336,0.6328709916494694,-1.0313022262175393
0.6328709916494694,-1.0313022262175393,0.6225285353353692,-1.0371750851202388
0.6225285353353692,-1.0371750851202388,0.6121277708165966,-1.0429636836695468
0.6121277708165966,-1.0429636836695468,0.6016695461920802,-1.0486669237257635
0.6016695461920802,-1.0486669237257635,0.5911547205129504,-1.0542837130902782
0.5911547205129504,-1.0542837130902782,0.5805841637200592,-1.0598129661201487
0.5805841637200592,-1.0598129661201487,0.5699587565753322,-1.0652536043471037
0.5699587565753322,-1.0652536043471037,0.559279390586911,-1.0706045571004015
0.559279390586911,-1.0706045571004015,0.5485469679280487,-1.0758647621329644
0.5485469679280487,-1.0758647621329644,0.5377624013497321,-1.0810331662501902
0.5377624013497321,-1.0810331662501902,0.5269266140870035,-1.0861087259408289
0.5269266140870035,-1.0861087259408289,0.5160405397589668,-1.091090408009302
0.5160405397589668,-1.091090408009302,0.5051051222624655,-1.0959771902088253
0.5051051222624655,-1.0959771902088253,0.494121315659428,-1.1007680618746858
0.494121315659428,-1.1007680618746858,0.4830900840578827,-1.1054620245570137
0.4830900840578827,-1.1054620245570137,0.47201240148664997,-1.1100580926523798
0.47201240148664997,-1.1100580926523798,0.4608892517637276,-1.1145552940335361
0.4608892517637276,-1.1145552940335361,0.44972162835839014,-1.1189526706766164
0.44972162835839014,-1.1189526706766164,0.4385105342470327,-1.1232492792850999
0.4385105342470327,-1.1232492792850999,0.42725698176279336,-1.127444191909839
0.42725698176279336,-1.127444191909839,0.4159619924389987,-1.1315364965644463
0.4159619924389987,-1.1315364965644463,0.40462659684648106,-1.1355252978353325
0.40462659684648106,-1.1355252978353325,0.3932518344248254,-1.1394097174856825
0.3932518344248254,-1.1394097174856825,0.38183875330760964,-1.1431888950526614
0.38183875330760964,-1.1431888950526614,0.37038841014170953,-1.1468619884371332
0.37038841014170953,-1.1468619884371332,0.3589018699007472,-1.150428174485186
0.3589018699007472,-1.150428174485186,0.34738020569276773,-1.1538866495607523
0.34738020569276773,-1.1538866495607523,0.3358244985622378,-1.1572366301086197
0.3358244985622378,-1.1572366301086197,0.3242358372864643,-1.160477353207135
0.3242358372864643,-1.160477353207135,0.3126153181665412,-1.1636080771099055
0.3126153181665412,-1.1636080771099055,0.3009640448129364,-1.1666280817758137
0.3009640448129364,-1.1666280817758137,0.2892831279258406,-1.1695366693866687
0.2892831279258406,-1.1695366693866687,0.27757368507040336,-1.1723331648518285
0.27757368507040336,-1.1723331648518285,0.26583684044699163,-1.1750169162991375
0.26583684044699163,-1.1750169162991375,0.2540737246566093,-1.1775872955515396
0.2540737246566093,-1.1775872955515396,0.24228547446162546,-1.1800436985887386
0.24228547446162546,-1.1800436985887386,0.23047323254196284,-1.1823855459932935
0.23047323254196284,-1.1823855459932935,0.21863814724690608,-1.1846122833805557
0.21863814724690608,-1.1846122833805557,0.20678137234269353,-1.1867233818118692
0.20678137234269353,-1.1867233818118692,0.19490406675606314,-1.1887183381904773
0.19490406675606314,-1.1887183381904773,0.1830073943139281,-1.1905966756395983
0.1830073943139281,-1.1905966756395983,0.17109252347936277,-1.1923579438621523
0.17109252347936277,-1.1923579438621523,0.15916062708408557,-1.194001719481651
0.15916062708408557,-1.194001719481651,0.14721288205762867,-1.1955276063637736
0.14721288205762867,-1.1955276063637736,0.1352504691533907,-1.1969352359181908
0.1352504691533907,-1.1969352359181908,0.12327457267177158,-1.1982242673802133
0.12327457267177158,-1.1982242673802133,0.11128638018059338,-1.1993943880718727
0.11128638018059338,-1.1993943880718727,0.0992870822330148,-1.2004453136420725
0.0992870822330148,-1.2004453136420725,0.08727787208315022,-1.2013767882854671
0.08727787208315022,-1.2013767882854671,0.07525994539960752,-1.2021885849397655
0.07525994539960752,-1.2021885849397655,0.06323449997716203,-1.2028805054611784
0.06323449997716203,-1.2028805054611784,0.05120273544678626,-1.2034523807777613
0.05120273544678626,-1.2034523807777613,0.03916585298425764,-1.203904071020436
0.03916585298425764,-1.203904071020436,0.027125055017568504,-1.2042354656315062
0.027125055017568504,-1.2042354656315062,0.015081544933364022,-1.2044464834505089
0.015081544933364022,-1.2044464834505089,0.0030365267826355253,-1.2045370727772844
0.0030365267826355253,-1.2045370727772844,-0.009008795014102601,-1.2045072114121718
-0.009008795014102601,-1.2045072114121718,-0.02105321596192336,-1.204356906673272
-0.02105321596192336,-1.204356906673272,-0.03309553178665542,-1.2040861953907576
-0.03309553178665542,-1.2040861953907576,-0.045134538729879756,-1.2036951438782328
-0.045134538729879756,-1.2036951438782328,-0.0571690338435253,-1.203183847881189
-0.0571690338435253,-1.203183847881189,-0.0691978152838349,-1.202552432502624
-0.0691978152838349,-1.202552432502624,-0.08121968260447374,-1.2018010521059377
-0.08121968260447374,-1.2018010521059377,-0.09323343704855364,-1.2009298901952352
-0.09323343704855364,-1.2009298901952352,-0.10523788183934815,-1.1999391592732134
-0.10523788183934815,-1.1999391592732134,-0.11723182246947522,-1.1988291006768286
-0.11723182246947522,-1.1988291006768286,-0.12921406698832644,-1.1975999843909797
-0.12921406698832644,-1.1975999843909797,-0.1411834262875242,-1.196252108840471
-0.1411834262875242,-1.196252108840471,-0.15313871438419124,-1.1947858006605447
-0.15313871438419124,-1.1947858006605447,-0.16507874870181952,-1.1932014144463097
-0.16507874870181952,-1.1932014144463097,-0.17700235034852943,-1.1914993324814143
-0.17700235034852943,-1.1914993324814143,-0.18890834439251353,-1.1896799644463445
-0.18890834439251353,-1.1896799644463445,-0.20079556013446295,-1.1877437471067522
-0.20079556013446295,-1.1877437471067522,-0.2126628313767792,-1.185691143982246
-0.2126628313767792,-1.185691143982246,-0.22450899668937782,-1.1835226449961012
-0.22450899668937782,-1.1835226449961012,-0.2363328996718961,-1.1812387661063726
-0.2363328996718961,-1.1812387661063726,-0.24813338921212075,-1.178840048918912
-0.24813338921212075,-1.178840048918912,-0.25990931974045745,-1.1763270602828177
-0.25990931974045745,-1.1763270602828177,-0.27165955148026955,-1.1737003918688662
-0.27165955148026955,-1.1737003918688662,-0.28338295069391806,-1.170960659731489
-0.28338295069391806,-1.170960659731489,-0.29507838992434193,-1.1681085038548853
-0.29507838992434193,-1.1681085038548853,-0.30674474823202225,-1.1651445876838695
-0.30674474823202225,-1.1651445876838695,-0.31838091142718145,-1.1620695976400774
-0.31838091142718145,-1.1620695976400774,-0.3299857722970739,-1.1588842426241615
-0.3299857722970739,-1.1588842426241615,-0.34155823082823106,-1.1555892535046268
-0.34155823082823106,-1.1555892535046268,-0.35309719442353116,-1.1521853825939654
-0.35309719442353116,-1.1521853825939654,-0.36460157811396904,-1.1486734031127614
-0.36460157811396904,-1.1486734031127614,-0.3760703047650103,-1.1450541086424495
-0.3760703047650103,-1.1450541086424495,-0.38750230527741875,-1.1413283125674123
-0.38750230527741875,-1.1413283125674123,-0.3988965187824546,-1.1374968475071179
-0.3988965187824546,-1.1374968475071179,-0.41025189283134716,-1.1335605647389955
-0.41025189283134716,-1.1335605647389955,-0.4215673835789529,-1.1295203336127595
-0.4215673835789529,-1.1295203336127595,-0.4328419559615169,-1.1253770409568893
-0.4328419559615169,-1.1253770409568893,-0.44407458386846294,-1.1211315904779773
-0.44407458386846294,-1.1211315904779773,-0.45526425030814416,-1.1167849021536587
-0.45526425030814416,-1.1167849021536587,-0.4664099475674944,-1.1123379116198318
-0.4664099475674944,-1.1123379116198318,-0.47751067736552544,-1.1077915695528828
-0.47751067736552544,-1.1077915695528828,-0.4885654510006251,-1.1031468410476184
-0.4885654510006251,-1.1031468410476184,-0.4995732894916157,-1.0984047049916092
-0.4995732894916157,-1.0984047049916092,-0.5105332237125413,-1.0935661534366445
-0.5105332237125413,-1.0935661534366445,-0.5214442945211573,-1.088632190967985
-0.5214442945211573,-1.088632190967985,-0.5323055528811051,-1.0836038340720986
-0.5323055528811051,-1.0836038340720986,-0.5431160599777594,-1.0784821105035556
-0.5431160599777594,-1.0784821105035556,-0.5538748873277417,-1.0732680586517456
-0.5538748873277417,-1.0732680586517456,-0.564581116882105,-1.067962726908073
-0.564581116882105,-1.067962726908073,-0.5752338411231934,-1.0625671730342738
-0.5752338411231934,-1.0625671730342738,-0.5858321631551946,-1.0570824635324865
-0.5858321631551946,-1.0570824635324865,-0.5963751967884036,-1.051509673017691
-0.5963751967884036,-1.051509673017691,-0.6068620666172255,-1.0458498835931256
-0.6068620666172255,-1.0458498835931256,-0.6172919080919501,-1.0401041842292682
-0.6172919080919501,-1.0401041842292682,-0.6276638675843357,-1.0342736701469573
-0.6276638675843357,-1.0342736701469573,-0.6379771024470479,-1.0283594422052116
-0.6379771024470479,-1.0283594422052116,-0.6482307810670023,-1.0223626062942912
-0.6482307810670023,-1.0223626062942912,-0.6584240829126659,-1.0162842727345258
-0.6584240829126659,-1.0162842727345258,-0.6685561985753776,-1.0101255556814168
-0.6685561985753776,-1.0101255556814168,-0.6786263298047539,-1.0038875725375065
-0.6786263298047539,-1.0038875725375065,-0.6886336895382483,-0.9975714433714823
-0.6886336895382483,-0.9975714433714823,-0.6985775019249403,-0.991178290344974
-0.6985775019249403,-0.991178290344974,-0.7084570023436323,-0.9847092371474753
-0.7084570023436323,-0.9847092371474753,-0.7182714374153384,-0.9781654084398078
-0.7182714374153384,-0.9781654084398078,-0.7280200650102521,-0.9715479293065219
-0.7280200650102521,-0.9715479293065219,-0.7377021542492841,-0.964857924717613
-0.7377021542492841,-0.964857924717613,-0.7473169855002658,-0.9580965189999099
-0.7473169855002658,-0.9580965189999099,-0.7568638503689159,-0.9512648353184734
-0.7568638503689159,-0.9512648353184734,-0.7663420516846725,-0.9443639951683236
-0.7663420516846725,-0.9443639951683236,-0.7757509034814958,-0.9373951178767944
-0.7757509034814958,-0.9373951178767944,-0.7850897309737481,-0.9303593201167949
-0.7850897309737481,-0.9303593201167949,-0.7943578705272626,-0.9232577154312369
-0.7943578705272626,-0.9232577154312369,-0.8035546696257126,-0.9160914137688698
-0.8035546696257126,-0.9160914137688698,-0.8126794868323978,-0.9088615210317439
-0.8126794868323978,-0.9088615210317439,-0.8217316917475633,-0.9015691386345045
-0.8217316917475633,-0.9015691386345045,-0.8307106649613728,-0.8942153630757018
-0.8307106649613728,-0.8942153630757018,-0.8396157980026542,-0.8868012855212801
-0.8396157980026542,-0.8868012855212801,-0.8484464932835425,-0.8793279914003959
-0.8484464932835425,-0.8793279914003959,-0.857202164040143,-0.8717965600136922
-0.857202164040143,-0.8717965600136922,-0.8658822342693399,-0.8642080641541441
-0.8658822342693399,-0.8642080641541441,-0.8744861386618761,-0.8565635697405666
-0.8744861386618761,-0.8565635697405666,-0.883013322531833,-0.848864135463867
-0.883013322531833,-0.848864135463867,-0.8914632417426352,-0.8411108124461012
-0.8914632417426352,-0.8411108124461012,-0.8998353626297116,-0.8333046439123813
-0.8998353626297116,-0.8333046439123813,-0.9081291619199385,-0.8254466648756644
-0.9081291619199385,-0.8254466648756644,-0.9163441266479959,-0.8175379018344392
-0.9163441266479959,-0.8175379018344392,-0.9244797540697652,-0.8095793724833107
-0.9244797540697652,-0.8095793724833107,-0.9325355515728969,-0.8015720854364708
-0.9325355515728969,-0.8015720854364708,-0.9405110365846774,-0.7935170399640283
-0.9405110365846774,-0.7935170399640283,-0.948405736477323,-0.7854152257411581
-0.948405736477323,-0.7854152257411581,-0.95621918847083,-0.7772676226100191
-0.95621918847083,-0.7772676226100191,-0.9639509395335067,-0.7690752003543759
-0.9639509395335067,-0.7690752003543759,-0.9716005462803157,-0.7608389184868477
-0.9716005462803157,-0.7608389184868477,-0.9791675748691502,-0.7525597260487006
-0.9791675748691502,-0.7525597260487006,-0.986651600895172,-0.7442385614220836
-0.986651600895172,-0.7442385614220836,-0.9940522092833329,-0.7358763521546025
-0.9940522092833329,-0.7358763521546025,-1.0013689941792028,-0.7274740147961154
-1.0013689941792028,-0.7274740147961154,-1.0086015588382269,-0.7190324547476242
-1.0086015588382269,-0.7190324547476242,-1.0157495155135312,-0.7105525661221277
-1.0157495155135312,-0.7105525661221277,-1.0228124853423968,-0.702035231617295
-1.0228124853423968,-0.702035231617295,-1.0297900982315173,-0.6934813223998106
-1.0297900982315173,-0.6934813223998106,-1.0366819927411604,-0.6848916980012346
-1.0366819927411604,-0.6848916980012346,-1.0434878159683418,-0.6762672062252141
-1.0434878159683418,-0.6762672062252141,-1.0502072234291302,-0.66760868306588
-1.0502072234291302,-0.66760868306588,-1.0568398789401885,-0.658916952637253
